feature_key,ar_synonyms_count,ar_pos_success,ar_neg_suppressed_all,ar_pos_example,ar_neg_example,en_pos_example
prolonged_bleeding_from_wounds_or_after_dental_work_or_surgery,0,0,0,,,Patient reports prolonged bleeding from wounds or after dental work or surgery.
paralysis_of_the_limbs,0,0,0,,,Patient reports paralysis of the limbs.
seizures,0,0,0,,,Patient reports seizures.
sleep_disturbances,0,0,0,,,Patient reports sleep disturbances.
frequent_crying,0,0,0,,,Patient reports frequent crying.
itchy,0,0,0,,,Patient reports itchy.
shaking,0,0,0,,,Patient reports shaking.
pus_or_drainage_from_the_wound,0,0,0,,,Patient reports pus or drainage from the wound.
loss_of_interest_or_pleasure_in_activities,0,0,0,,,Patient reports loss of interest or pleasure in activities.
dark_urine,0,0,0,,,Patient reports dark urine.
loss_of_sensation_in_the_face_or_other_areas,0,0,0,,,Patient reports loss of sensation in the face or other areas.
intellectual_disability,0,0,0,,,Patient reports intellectual disability.
distinct_facial_features_small_jaw,0,0,0,,,Patient reports distinct facial features small jaw.
fragile_bones,0,0,0,,,Patient reports fragile bones.
excessive_worrying,0,0,0,,,Patient reports excessive worrying.
raynaud_s_phenomenon,0,0,0,,,Patient reports raynaud s phenomenon.
panic_attacks,0,0,0,,,Patient reports panic attacks.
cholecystectomy,0,0,0,,,Patient reports cholecystectomy.
fluid_drainage_from_the_ear,0,0,0,,,Patient reports fluid drainage from the ear.
elevated_cholesterol_levels,0,0,0,,,Patient reports elevated cholesterol levels.
rapid_pulse,0,0,0,,,Patient reports rapid pulse.
hearing_loss,0,0,0,,,Patient reports hearing loss.
difficulty_swallowing,0,0,0,,,Patient reports difficulty swallowing.
restlessness,0,0,0,,,Patient reports restlessness.
rough,0,0,0,,,Patient reports rough.
with_associated_swelling,0,0,0,,,Patient reports with associated swelling.
difficulty_bonding_with_the_baby,0,0,0,,,Patient reports difficulty bonding with the baby.
skin_abnormalities,0,0,0,,,Patient reports skin abnormalities.
tremors,0,0,0,,,Patient reports tremors.
facial_weakness_or_paralysis,0,0,0,,,Patient reports facial weakness or paralysis.
sudden,0,0,0,,,Patient reports sudden.
sensitivity_to_light_and_sound,0,0,0,,,Patient reports sensitivity to light and sound.
or_face,0,0,0,,,Patient reports or face.
trouble_concentrating_or_making_decisions,0,0,0,,,Patient reports trouble concentrating or making decisions.
sweating,0,0,0,,,Patient reports sweating.
sphincterotomy,0,0,0,,,Patient reports sphincterotomy.
