feature_key,arabic_synonyms,english_phrase
prolonged_bleeding_from_wounds_or_after_dental_work_or_surgery,طويل الأمد، ممتد، جرح، جروح، نزف، نزيف، نزف من الجرح، نزيف من الجرح,prolonged bleeding from wounds or after dental work or surgery
paralysis_of_the_limbs,شلل,paralysis of the limbs
sleep_disturbances,نوم، اضطرابات,sleep disturbances
frequent_crying,متكرر، بكاء,frequent crying
itchy,حكة، هرش,itchy
shaking,ارتعاش,shaking
pus_or_drainage_from_the_wound,إفرازات، سائل، قيح، جرح، جروح,pus or drainage from the wound
loss_of_interest_or_pleasure_in_activities,فقدان الاهتمام أو المتعة بالأنشطة، انعدام الاستمتاع,loss of interest or pleasure in activities
dark_urine,بول، بول داكن، دم في البول، نقص كمية البول، زيادة التبول، كثرة التبول,dark urine
loss_of_sensation_in_the_face_or_other_areas,فقدان الإحساس، فقدان الإحساس في الوجه أو مناطق أخرى,loss of sensation in the face or other areas
intellectual_disability,إعاقة ذهنية,intellectual disability
raynaud_s_phenomenon,ظاهرة رينو,raynaud s phenomenon
panic_attacks,هلع، نوبات، نوبة,panic attacks
cholecystectomy,استئصال المرارة,cholecystectomy
fluid_drainage_from_the_ear,أذن، إفرازات، سائل، تصريف سوائل، إفرازات أذنية، سائل من الأذن,fluid drainage from the ear
rapid_pulse,سريع، سرعة النبض,rapid pulse
hearing_loss,أذن، فقدان السمع، ضعف السمع,hearing loss
with_associated_swelling,تورم، انتفاخ,with associated swelling
skin_abnormalities,جلد، شذوذات جلدية، اضطرابات الجلد,skin abnormalities
tremors,رعاش,tremors
facial_weakness_or_paralysis,ضعف، شلل، ضعف أو شلل وجهي,facial weakness or paralysis
sudden,مفاجئ,sudden
sensitivity_to_light_and_sound,حساسية للضوء، رهاب الضوء، حساسية للضوء والصوت,sensitivity to light and sound
trouble_concentrating_or_making_decisions,صعوبة التركيز أو اتخاذ القرار,trouble concentrating or making decisions
sphincterotomy,قطع المصرة (سفنكتروتومي),sphincterotomy
abnormal_bleeding_or_spotting,نزف، نزيف، تبقيع دموي,abnormal bleeding or spotting
infertility,عقم,infertility
gradual_loss_of_vision,رؤية، مشاكل الرؤية، فقدان البصر، تشوش رؤية، رؤية ضبابية، ازدواجية رؤية,gradual loss of vision
swollen_and_tender_abdomen,مؤلم عند اللمس، إيلام، متورم، بطن مؤلم، بطن متورم,swollen and tender abdomen
hoarseness,بحة الصوت,hoarseness
cyanosis_bluish_discoloration_of_the_skin,زرقة الجلد، جلد، مزرق,cyanosis bluish discoloration of the skin
pale_stools,شحوب، براز شاحب,pale stools
brief_muscle_contractions_or_jerks,نفضات عضلية، انقباضات عضلية قصيرة، رجفات عضلية,brief muscle contractions or jerks
slow_healing_of_wounds,بطيء، جرح، جروح,slow healing of wounds
hearing_loss_or_muffled_hearing_in_the_affected_ear,أذن، فقدان السمع، ضعف السمع,hearing loss or muffled hearing in the affected ear
endoscopic_retrograde_cholangiopancreatography_ercp_with_stone_removal,منظار القنوات الصفراوية (ERCP)، إزالة حصوات,endoscopic retrograde cholangiopancreatography ercp with stone removal
frequent_infections,متكرر,frequent infections
manic_episodes,هوسي,manic episodes
salty_tasting_skin,جلد، طعم جلدي مالح، عرق مالح,salty tasting skin
fluid_retention,احتباس السوائل,fluid retention
confusion,ارتباك، هذيان,confusion
swollen_lymph_nodes,متورم، العقد اللمفاوية، تورم/تضخم العقد اللمفاوية,swollen lymph nodes
hopelessness,يأس,hopelessness
high_blood_pressure,ارتفاع ضغط الدم,high blood pressure
sensitivity_to_cold,حساسية للبرد، عدم تحمل البرد,sensitivity to cold
lymphedema,وذمة، وذمة لمفية,lymphedema
loss_of_height_over_time,نقص الطول مع الزمن,loss of height over time
halos_around_lights,هالات حول الأضواء,halos around lights
pale_skin,شحوب، جلد,pale skin
urgency,إلحاح بولي,urgency
eye_movement_abnormalities,اضطرابات حركة العين,eye movement abnormalities
frequent_urination,متكرر، تبول، كثرة التبول,frequent urination
excessive_hair_growth,فرط الشعر، الشعرانية,excessive hair growth
recurrent_lung_infections,متكرر,recurrent lung infections
stiffness,تيبس,stiffness
malaise,توعك عام,malaise
lump_or_swelling_in_the_testicles,تورم، انتفاخ، خصيتين، خصية، كتلة,lump or swelling in the testicles
swollen_eyelids,متورم,swollen eyelids
slowness_of_movement,بطيء، بطء الحركة,slowness of movement
difficulty_speaking_or_walking,صعوبة الكلام أو المشي,difficulty speaking or walking
lack_of_interest,قلة اهتمام، انعدام الاهتمام,lack of interest
decreased_urine_output,بول، نقص كمية البول، دم في البول، بول داكن، زيادة التبول، كثرة التبول,decreased urine output
changes_in_testicular_size_or_shape,خصوي,changes in testicular size or shape
enlarged_spleen_or_liver,كبد، طحال، تضخم الطحال، تضخم الكبد أو الطحال,enlarged spleen or liver
swollen_salivary_glands_usually_parotid,الغدد اللعابية، النكفية، متورم، تورم الغدد اللعابية، تورم الغدة النكفية,swollen salivary glands usually parotid
inflamed_skin,جلد، التهاب الجلد,inflamed skin
ovarian_cysts,أكياس مبيضية، مبيضي,ovarian cysts
difficulty_concentrating,صعوبة التركيز,difficulty concentrating
watery_discharge,إفرازات مائية,watery discharge
increased_urination_or_urine_changes,بول، تبول، زيادة التبول، دم في البول، بول داكن، نقص كمية البول، كثرة التبول,increased urination or urine changes
vision_problems,رؤية، مشاكل الرؤية، فقدان البصر، تشوش رؤية، رؤية ضبابية، ازدواجية رؤية,vision problems
restricted_interests_or_repetitive_behaviors,اهتمامات محدودة أو سلوكيات تكرارية,restricted interests or repetitive behaviors
irritability,تهيج، انفعال,irritability
gastrointestinal_symptoms,هضمي,gastrointestinal symptoms
persistent_feelings_of_sadness,مستمر,persistent feelings of sadness
muscle_wasting,عضلة، ضمور عضلي,muscle wasting
rib_fractures_associated_injuries,كسور الأضلاع، كسور، كسر,rib fractures associated injuries
transverse_myelitis_weakness,ضعف,transverse myelitis weakness
short_stature,قصر القامة,short stature
developmental_delays,تأخر نمائي,developmental delays
lasting_for_at_least_two_years,أذن,lasting for at least two years
tenderness,مؤلم عند اللمس، إيلام، ألم عند الجس,tenderness
hallucinations,هلوسات,hallucinations
persistent_depressive_symptoms_low_mood,مستمر، اكتئابي,persistent depressive symptoms low mood
rapid_or_shallow_breathing,تنفس سريع أو سطحي,rapid or shallow breathing
feelings_of_guilt_or_worthlessness,شعور بالذنب، انعدام القيمة,feelings of guilt or worthlessness
thickening_of_the_skin,تسمك، جلد، تسمك الجلد,thickening of the skin
trouble_speaking_or_understanding,صعوبة الكلام أو الفهم,trouble speaking or understanding
gonadal_dysgenesis,خلل تكون الغدد التناسلية,gonadal dysgenesis
decreased_oxygen_levels,أكسجين، انخفاض مستويات الأكسجين,decreased oxygen levels
distorted_body_image,صورة جسم مشوهة,distorted body image
depends_on_the_specific_cranial_nerve_involved_symptoms_can_include_vision_changes,رؤية,depends on the specific cranial nerve involved symptoms can include vision changes
sensitivity_to_light,حساسية للضوء، رهاب الضوء,sensitivity to light
cramping,تقلصات، مغص,cramping
cognitive_problems,مشاكل معرفية,cognitive problems
frequent_nosebleeds,متكرر، رعاف، رعاف متكرر,frequent nosebleeds
numbness_or_weakness_general,عام، ضعف، خدر,numbness or weakness general
muscle_weakness,ضعف، عضلة، ضعف عضلي,muscle weakness
facial_numbness_or_weakness,ضعف، خدر,facial numbness or weakness
extremities_numbness_or_weakness,ضعف، خدر,extremities numbness or weakness
weight_changes_general,عام، تغيرات الوزن,weight changes general
spontaneous_bleeding_joints_muscles,نزف، نزيف، عضلة، عضلات,spontaneous bleeding joints muscles
preeclampsia,تسمم الحمل,preeclampsia
heart_rate_issues,معدل ضربات القلب، أذن,heart rate issues
heart_attack,نوبة، نوبة قلبية، احتشاء عضلة القلب، أذن,heart attack
depression_general,عام، اكتئاب,depression general
movement_or_speech_difficulty,صعوبة الحركة أو الكلام,movement or speech difficulty
heart_rate_irregularities,معدل ضربات القلب، اضطرابات، أذن,heart rate irregularities
redness_general,عام، احمرار,redness general
