feature_key,en_phrases_count,en_pos_success,en_neg_suppressed_all,ar_synonyms_count,ar_pos_success,ar_neg_suppressed_all,overall_success,en_pos_example,en_neg_example,ar_pos_example,ar_neg_example
cough,1,1,1,5,1,1,1,Patient reports cough.,Patient denies cough.; Patient has no cough.,أعاني من سعال; أعاني من كحه,لا يوجد سعال; ما في سعال
breast_lump,1,1,1,1,1,1,1,Patient reports breast lump.,Patient denies breast lump.; Patient has no breast lump.,أعاني من كتلة في الثدي,لا يوجد كتلة في الثدي; ما في كتلة في الثدي
legs,1,1,1,2,1,1,1,Patient reports legs.,Patient denies legs.; Patient has no legs.,أعاني من ساق; أعاني من قدم,لا يوجد ساق; ما في ساق
prolonged_bleeding_from_wounds_or_after_dental_work_or_surgery,1,1,1,8,1,1,1,Patient reports prolonged bleeding from wounds or after dental work or surgery.,Patient denies prolonged bleeding from wounds or after dental work or surgery.; Patient has no prolonged bleeding from wounds or after dental work or surgery.,أعاني من طويل الامد; أعاني من ممتد,لا يوجد طويل الامد; ما في طويل الامد
paralysis_of_the_limbs,1,1,1,1,1,1,1,Patient reports paralysis of the limbs.,Patient denies paralysis of the limbs.; Patient has no paralysis of the limbs.,أعاني من شلل,لا يوجد شلل; ما في شلل
widespread_musculoskeletal_pain,1,1,1,2,1,1,1,Patient reports widespread musculoskeletal pain.,Patient denies widespread musculoskeletal pain.; Patient has no widespread musculoskeletal pain.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
jaundice,3,1,1,3,1,1,1,Patient reports jaundice.; Patient reports yellowing of skin.,Patient denies jaundice.; Patient has no jaundice.,أعاني من يرقان; أعاني من اصفرار الجلد,لا يوجد يرقان; ما في يرقان
seizures,1,1,1,2,1,1,1,Patient reports seizures.,Patient denies seizures.; Patient has no seizures.,أعاني من نوبات صرع; أعاني من تشنجات,لا يوجد نوبات صرع; ما في نوبات صرع
changes_in_sleep_and_appetite,1,1,1,2,1,1,1,Patient reports changes in sleep and appetite.,Patient denies changes in sleep and appetite.; Patient has no changes in sleep and appetite.,أعاني من تغيرات النوم; أعاني من تغيرات الشهية,لا يوجد تغيرات النوم; ما في تغيرات النوم
sleep_disturbances,1,1,1,2,1,1,1,Patient reports sleep disturbances.,Patient denies sleep disturbances.; Patient has no sleep disturbances.,أعاني من نوم; أعاني من اضطرابات,لا يوجد نوم; ما في نوم
frequent_crying,1,1,1,2,1,1,1,Patient reports frequent crying.,Patient denies frequent crying.; Patient has no frequent crying.,أعاني من متكرر; أعاني من بكاء,لا يوجد متكرر; ما في متكرر
itchy,1,1,1,2,1,1,1,Patient reports itchy.,Patient denies itchy.; Patient has no itchy.,أعاني من حكه; أعاني من هرش,لا يوجد حكه; ما في حكه
shaking,1,1,1,1,1,1,1,Patient reports shaking.,Patient denies shaking.; Patient has no shaking.,أعاني من ارتعاش,لا يوجد ارتعاش; ما في ارتعاش
acne,1,1,1,1,1,1,1,Patient reports acne.,Patient denies acne.; Patient has no acne.,أعاني من حب شباب,لا يوجد حب شباب; ما في حب شباب
pus_or_drainage_from_the_wound,1,1,1,5,1,1,1,Patient reports pus or drainage from the wound.,Patient denies pus or drainage from the wound.; Patient has no pus or drainage from the wound.,أعاني من افرازات; أعاني من سائل,لا يوجد افرازات; ما في افرازات
jaw_or_arm_pain,1,1,1,4,1,1,1,Patient reports jaw or arm pain.,Patient denies jaw or arm pain.; Patient has no jaw or arm pain.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
loss_of_interest_or_pleasure_in_activities,1,1,1,2,1,1,1,Patient reports loss of interest or pleasure in activities.,Patient denies loss of interest or pleasure in activities.; Patient has no loss of interest or pleasure in activities.,أعاني من فقدان الاهتمام او المتعه بالانشطه; أعاني من انعدام الاستمتاع,لا يوجد فقدان الاهتمام او المتعه بالانشطه; ما في فقدان الاهتمام او المتعه بالانشطه
persistent_cough_with_thick_mucus,1,1,1,2,1,1,1,Patient reports persistent cough with thick mucus.,Patient denies persistent cough with thick mucus.; Patient has no persistent cough with thick mucus.,أعاني من سعال; أعاني من كحة,لا يوجد سعال; ما في سعال
dark_urine,1,1,1,6,1,1,1,Patient reports dark urine.,Patient denies dark urine.; Patient has no dark urine.,أعاني من بول; أعاني من بول داكن,لا يوجد بول; ما في بول
loss_of_sensation_in_the_face_or_other_areas,1,1,1,2,1,1,1,Patient reports loss of sensation in the face or other areas.,Patient denies loss of sensation in the face or other areas.; Patient has no loss of sensation in the face or other areas.,أعاني من فقدان الاحساس; أعاني من فقدان الاحساس في الوجه او مناطق اخري,لا يوجد فقدان الاحساس; ما في فقدان الاحساس
intellectual_disability,1,1,1,1,1,1,1,Patient reports intellectual disability.,Patient denies intellectual disability.; Patient has no intellectual disability.,أعاني من اعاقه ذهنيه,لا يوجد اعاقه ذهنيه; ما في اعاقه ذهنيه
distinct_facial_features_small_jaw,1,1,1,3,1,1,1,Patient reports distinct facial features small jaw.,Patient denies distinct facial features small jaw.; Patient has no distinct facial features small jaw.,أعاني من ملامح وجه مميزة; أعاني من صغر الفك,لا يوجد ملامح وجه مميزة; ما في ملامح وجه مميزة
persistent_cough_with_yellow_or_green_mucus,1,1,1,2,1,1,1,Patient reports persistent cough with yellow or green mucus.,Patient denies persistent cough with yellow or green mucus.; Patient has no persistent cough with yellow or green mucus.,أعاني من سعال; أعاني من كحة,لا يوجد سعال; ما في سعال
fragile_bones,1,1,1,2,1,1,1,Patient reports fragile bones.,Patient denies fragile bones.; Patient has no fragile bones.,أعاني من عظام هشة; أعاني من هشاشة العظام,لا يوجد عظام هشة; ما في عظام هشة
excessive_worrying,1,1,1,2,1,1,1,Patient reports excessive worrying.,Patient denies excessive worrying.; Patient has no excessive worrying.,أعاني من قلق مفرط; أعاني من قلق زائد,لا يوجد قلق مفرط; ما في قلق مفرط
thick_nasal_discharge,1,1,1,3,1,1,1,Patient reports thick nasal discharge.,Patient denies thick nasal discharge.; Patient has no thick nasal discharge.,أعاني من رشح; أعاني من سائل أنفي,لا يوجد رشح; ما في رشح
abdominal_swelling_ascites,1,1,1,4,1,1,1,Patient reports abdominal swelling ascites.,Patient denies abdominal swelling ascites.; Patient has no abdominal swelling ascites.,أعاني من بطن; أعاني من بطني,لا يوجد بطن; ما في بطن
raynaud_s_phenomenon,1,1,1,1,1,1,1,Patient reports raynaud s phenomenon.,Patient denies raynaud s phenomenon.; Patient has no raynaud s phenomenon.,أعاني من ظاهره رينو,لا يوجد ظاهره رينو; ما في ظاهره رينو
panic_attacks,1,1,1,3,1,1,1,Patient reports panic attacks.,Patient denies panic attacks.; Patient has no panic attacks.,أعاني من هلع; أعاني من نوبات,لا يوجد هلع; ما في هلع
cholecystectomy,1,1,1,1,1,1,1,Patient reports cholecystectomy.,Patient denies cholecystectomy.; Patient has no cholecystectomy.,أعاني من استئصال المراره,لا يوجد استئصال المراره; ما في استئصال المراره
fluid_drainage_from_the_ear,1,1,1,6,1,1,1,Patient reports fluid drainage from the ear.,Patient denies fluid drainage from the ear.; Patient has no fluid drainage from the ear.,أعاني من اذن; أعاني من افرازات,لا يوجد اذن; ما في اذن
elevated_cholesterol_levels,1,1,1,2,1,1,1,Patient reports elevated cholesterol levels.,Patient denies elevated cholesterol levels.; Patient has no elevated cholesterol levels.,أعاني من ارتفاع الكوليسترول; أعاني من فرط كوليسترول,لا يوجد ارتفاع الكوليسترول; ما في ارتفاع الكوليسترول
rapid_pulse,1,1,1,2,1,1,1,Patient reports rapid pulse.,Patient denies rapid pulse.; Patient has no rapid pulse.,أعاني من سريع; أعاني من سرعه النبض,لا يوجد سريع; ما في سريع
pain_or_tenderness_at_the_wound_site,1,1,1,2,1,1,1,Patient reports pain or tenderness at the wound site.,Patient denies pain or tenderness at the wound site.; Patient has no pain or tenderness at the wound site.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
bleeding_tendencies,1,1,1,1,1,1,1,Patient reports bleeding tendencies.,Patient denies bleeding tendencies.; Patient has no bleeding tendencies.,أعاني من ميل للنزف,لا يوجد ميل للنزف; ما في ميل للنزف
decreased_appetite,2,1,1,3,1,1,1,Patient reports decreased appetite.; Patient reports poor appetite.,Patient denies decreased appetite.; Patient has no decreased appetite.,أعاني من فقدان شهية; أعاني من قله شهية,لا يوجد فقدان شهية; ما في فقدان شهية
hearing_loss,1,1,1,3,1,1,1,Patient reports hearing loss.,Patient denies hearing loss.; Patient has no hearing loss.,أعاني من اذن; أعاني من فقدان السمع,لا يوجد اذن; ما في اذن
difficulty_swallowing,1,1,1,2,1,1,1,Patient reports difficulty swallowing.,Patient denies difficulty swallowing.; Patient has no difficulty swallowing.,أعاني من صعوبة البلع; أعاني من عسر البلع,لا يوجد صعوبة البلع; ما في صعوبة البلع
severe_upper_abdominal_pain,1,1,1,4,1,1,1,Patient reports severe upper abdominal pain.,Patient denies severe upper abdominal pain.; Patient has no severe upper abdominal pain.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
restlessness,1,1,1,2,1,1,1,Patient reports restlessness.,Patient denies restlessness.; Patient has no restlessness.,أعاني من تململ; أعاني من أرق,لا يوجد تململ; ما في تململ
rough,1,1,1,2,1,1,1,Patient reports rough.,Patient denies rough.; Patient has no rough.,أعاني من خشونة الجلد; أعاني من خشن,لا يوجد خشونة الجلد; ما في خشونة الجلد
pelvic_pain,1,1,1,2,1,1,1,Patient reports pelvic pain.,Patient denies pelvic pain.; Patient has no pelvic pain.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
with_associated_swelling,1,1,1,2,1,1,1,Patient reports with associated swelling.,Patient denies with associated swelling.; Patient has no with associated swelling.,أعاني من تورم; أعاني من انتفاخ,لا يوجد تورم; ما في تورم
or_leg_typically_on_one_side_of_the_body,1,1,1,2,1,1,1,Patient reports or leg typically on one side of the body.,Patient denies or leg typically on one side of the body.; Patient has no or leg typically on one side of the body.,أعاني من ساق; أعاني من قدم,لا يوجد ساق; ما في ساق
difficulty_bonding_with_the_baby,1,1,1,2,1,1,1,Patient reports difficulty bonding with the baby.,Patient denies difficulty bonding with the baby.; Patient has no difficulty bonding with the baby.,أعاني من صعوبة الارتباط بالطفل; أعاني من ضعف الترابط مع الطفل,لا يوجد صعوبة الارتباط بالطفل; ما في صعوبة الارتباط بالطفل
pelvic_pain_during_menstruation,1,1,1,2,1,1,1,Patient reports pelvic pain during menstruation.,Patient denies pelvic pain during menstruation.; Patient has no pelvic pain during menstruation.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
skin_abnormalities,1,1,1,3,1,1,1,Patient reports skin abnormalities.,Patient denies skin abnormalities.; Patient has no skin abnormalities.,أعاني من جلد; أعاني من شذوذات جلديه,لا يوجد جلد; ما في جلد
tremors,1,1,1,1,1,1,1,Patient reports tremors.,Patient denies tremors.; Patient has no tremors.,أعاني من رعاش,لا يوجد رعاش; ما في رعاش
painful_periods,1,1,1,2,1,1,1,Patient reports painful periods.,Patient denies painful periods.; Patient has no painful periods.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
